	shannon	observed_otus
KO6	6.28026141178	258.0
WT8	5.1019137547	206.0
KO2	6.09098165775	245.0
KO5	6.02490394294	236.0
OE2	5.63963005407	223.0
WT1	5.40252956879	234.0
WT2	5.93814377463	260.0
WT4	5.98976551917	267.0
KO7	5.99655538805	250.0
KO3	4.79518022424	211.0
WT6	5.77566240859	233.0
OE4	5.7384322322	224.0
KO9	5.90644421874	227.0
WT3	5.98314005525	244.0
KO1	5.76044651014	236.0
KO4	5.95896010709	253.0
WT5	5.57090387896	229.0
KO8	5.84893812131	237.0
OE6	5.66404394842	220.0
OE5	5.78399033335	220.0
WT7	6.1076826004	250.0
OE7	5.61165456913	203.0
WT9	5.47534571895	207.0
OE1	5.80550010602	220.0
OE8	5.8851748583	225.0
OE9	5.79273242369	222.0
OE3	5.48185574213	208.0
