	shannon	observed_otus
KO6	6.29952336058	297.0
WT8	5.10607815372	241.0
KO2	6.14299702932	322.0
KO5	6.05580747964	288.0
OE2	5.74408652704	275.0
WT1	5.40157088859	271.0
WT2	5.96755613816	307.0
WT4	5.98236290034	312.0
KO7	5.91152889861	282.0
KO3	4.71285318009	238.0
WT6	5.75526546322	273.0
KO9	6.02102665449	283.0
WT3	6.0230326349	299.0
KO1	5.90589202108	296.0
KO4	5.9450931736	281.0
WT5	5.60840947796	263.0
KO8	5.85456649175	273.0
OE6	5.72678072536	254.0
OE5	5.84694927711	257.0
WT7	6.09871616847	296.0
OE7	5.72039374199	250.0
WT9	5.52201639346	281.0
OE1	5.8915086321	260.0
OE8	5.93527347534	259.0
OE9	5.8838452994	254.0
