	shannon	observed_otus
KO6	6.25560747456	282.0
WT8	4.99809682686	233.0
KO2	6.17240197743	310.0
KO5	6.14292779037	282.0
OE2	5.732669221	257.0
WT1	5.37048705551	275.0
WT2	5.92887196515	290.0
WT4	5.9581239931	286.0
KO7	5.97356980066	270.0
KO3	4.88728729492	245.0
WT6	5.81183765417	268.0
KO9	6.07469172148	274.0
WT3	5.99145157644	283.0
KO1	5.85828497079	278.0
KO4	6.00150152037	274.0
WT5	5.55428416216	236.0
KO8	5.8566119406	265.0
OE6	5.66124096965	234.0
OE5	5.76545290942	244.0
WT7	6.16239012639	289.0
OE7	5.68248792372	243.0
WT9	5.54157416867	264.0
OE1	5.83742213216	244.0
OE8	5.91271724549	253.0
OE9	5.836019704	247.0
