	shannon	observed_otus
KO6	6.02860143356	155.0
WT8	4.88952052651	116.0
KO2	5.85301203834	152.0
KO5	5.91230377435	150.0
OE2	5.5352104242	139.0
WT1	5.24163295332	138.0
WT2	5.76905443316	160.0
WT4	5.79146863988	161.0
KO7	5.60446031834	137.0
KO3	4.58590484843	125.0
WT6	5.58331495258	141.0
OE4	5.64834976928	142.0
KO9	5.86245113852	144.0
WT3	6.0000187406	171.0
KO1	5.45950415673	143.0
KO4	5.58685952216	149.0
WT5	5.28921134557	131.0
KO8	5.74903134571	148.0
OE6	5.46887388795	130.0
OE5	5.62578372943	143.0
WT7	5.85712203748	160.0
OE7	5.46508433313	129.0
WT9	5.34147807497	133.0
OE1	5.63821104996	139.0
OE8	5.651199456	126.0
OE9	5.58611684048	128.0
OE3	5.28883021277	123.0
