	shannon	observed_otus
KO6	6.32544799887	303.0
WT8	5.00978864871	248.0
KO2	6.17072232755	297.0
KO5	6.1471399292	312.0
OE2	5.73923048138	274.0
WT1	5.46107729947	255.0
WT2	5.94911892416	316.0
WT4	5.98809190534	314.0
KO7	5.9486342326	283.0
KO3	4.81877313531	267.0
WT6	5.77955610097	274.0
KO9	6.07194407169	295.0
WT3	6.02325505499	287.0
KO1	5.82078912846	272.0
KO4	5.90547544844	283.0
WT5	5.54356884741	270.0
KO8	5.9035064019	272.0
OE6	5.76932866251	252.0
OE5	5.83971473281	261.0
WT7	6.15002967626	294.0
OE7	5.66007611446	243.0
WT9	5.5745436605	274.0
OE1	5.85777521166	259.0
OE8	5.92117173637	259.0
OE9	5.84891943793	256.0
