	shannon	observed_otus
KO6	6.12034379226	202.0
WT8	4.96179501759	155.0
KO2	5.96216368738	209.0
KO5	5.88963116839	199.0
OE2	5.56049476029	172.0
WT1	5.2640467223	185.0
WT2	5.92477405645	206.0
WT4	5.96804037429	204.0
KO7	5.68814109055	180.0
KO3	4.75721502088	160.0
WT6	5.64539022789	181.0
OE4	5.6198271719	180.0
KO9	5.99746290433	213.0
WT3	5.89488565205	208.0
KO1	5.60855124406	177.0
KO4	5.77316592126	182.0
WT5	5.51700543041	177.0
KO8	5.79134676614	188.0
OE6	5.62267085087	162.0
OE5	5.68121879562	179.0
WT7	5.98153341217	197.0
OE7	5.53780706597	167.0
WT9	5.40017817541	182.0
OE1	5.76543107238	175.0
OE8	5.82621285328	183.0
OE9	5.76037528756	177.0
OE3	5.35681498383	158.0
