	shannon	observed_otus
KO6	5.37886936142	71.0
WT8	4.34027410702	55.0
KO2	5.62661971891	83.0
KO5	5.44365294555	77.0
OE2	5.24757888703	69.0
WT1	4.81960826473	68.0
WT2	5.17331820547	80.0
WT4	5.24052326816	69.0
KO7	5.36698901711	73.0
KO3	4.37284282595	59.0
WT6	5.02006173059	64.0
OE4	5.27636796647	74.0
KO9	5.47348331863	70.0
WT3	5.51725441035	79.0
KO1	5.12902418968	72.0
KO4	5.32230459589	72.0
WT5	5.08909860749	65.0
KO8	5.07484343163	68.0
OE6	5.03930714674	62.0
OE5	5.40630183829	77.0
WT7	5.25226818087	63.0
OE7	5.13663070988	67.0
WT9	4.85035251839	69.0
OE1	5.08001353378	64.0
OE8	5.31292630801	71.0
OE9	5.17112477582	69.0
OE3	5.09031588626	70.0
