	shannon	observed_otus
KO6	6.22525226148	212.0
WT8	5.05206411358	176.0
KO2	6.06277770499	232.0
KO5	6.09266022806	221.0
OE2	5.70681799144	198.0
WT1	5.5083829949	222.0
WT2	5.9023679542	232.0
WT4	5.9842092702	232.0
KO7	5.77847466205	211.0
KO3	4.87307948437	181.0
WT6	5.76877489381	199.0
OE4	5.64945298735	200.0
KO9	5.88574842941	200.0
WT3	5.91085167341	216.0
KO1	5.76550491335	208.0
KO4	5.9053383786	215.0
WT5	5.58460952608	198.0
KO8	5.93061945401	217.0
OE6	5.58435579905	181.0
OE5	5.67189560993	192.0
WT7	5.9774041644	219.0
OE7	5.61261758909	190.0
WT9	5.42503901797	196.0
OE1	5.76668918443	193.0
OE8	5.87706780116	195.0
OE9	5.69373970551	180.0
OE3	5.4250192613	181.0
