	shannon	observed_otus
KO6	6.01017160282	173.0
WT8	5.18512707746	161.0
KO2	5.97411906812	181.0
KO5	5.84454647573	178.0
OE2	5.71912577775	175.0
WT1	5.21420816864	169.0
WT2	5.8123432411	191.0
WT4	5.89873737457	193.0
KO7	5.76791532577	179.0
KO3	4.7858979279	152.0
WT6	5.62726756636	173.0
OE4	5.72498465732	171.0
KO9	5.92338184149	176.0
WT3	5.85345853455	186.0
KO1	5.73260726394	180.0
KO4	5.92006475367	185.0
WT5	5.47914135979	162.0
KO8	5.63530095482	166.0
OE6	5.5796220276	157.0
OE5	5.67759752715	169.0
WT7	5.91262453006	178.0
OE7	5.45022138537	147.0
WT9	5.52150570855	163.0
OE1	5.6868601642	148.0
OE8	5.76301328946	164.0
OE9	5.66234303893	159.0
OE3	5.30966144742	151.0
