	shannon	observed_otus
KO6	6.28496762722	229.0
WT8	4.9905030337	178.0
KO2	6.11330294837	225.0
KO5	6.01411440423	233.0
OE2	5.61861922422	206.0
WT1	5.30610532892	208.0
WT2	5.8419803989	226.0
WT4	6.00962934732	239.0
KO7	5.86842247186	218.0
KO3	4.67518535751	167.0
WT6	5.78821719104	232.0
OE4	5.71563472343	210.0
KO9	5.98132220556	218.0
WT3	6.06096284723	244.0
KO1	5.83849758323	226.0
KO4	5.87515303744	225.0
WT5	5.58967162055	207.0
KO8	5.84344696919	210.0
OE6	5.69072388924	190.0
OE5	5.78190790164	208.0
WT7	6.04543679536	225.0
OE7	5.68892619844	199.0
WT9	5.48741504661	207.0
OE1	5.8026163307	200.0
OE8	5.88183108605	208.0
OE9	5.77932059781	192.0
OE3	5.47921149137	192.0
