	shannon	observed_otus
KO6	6.27680688699	233.0
WT8	5.07236346697	187.0
KO2	6.03955715849	220.0
KO5	6.01710844821	230.0
OE2	5.61905360621	205.0
WT1	5.38738307815	214.0
WT2	5.89026169609	227.0
WT4	5.94607764359	240.0
KO7	5.8387139116	213.0
KO3	4.70878047497	179.0
WT6	5.70440294354	209.0
OE4	5.71533110324	209.0
KO9	5.85900051118	205.0
WT3	5.91386629282	224.0
KO1	5.73588104097	203.0
KO4	5.91720287575	218.0
WT5	5.47043623051	202.0
KO8	5.8565360256	214.0
OE6	5.68882786246	199.0
OE5	5.73934833094	205.0
WT7	5.98407615576	223.0
OE7	5.62005001633	192.0
WT9	5.50294564164	199.0
OE1	5.80124168385	199.0
OE8	5.85530991055	208.0
OE9	5.7435295951	205.0
OE3	5.50218093187	199.0
