	shannon	observed_otus
KO6	5.86508834086	105.0
WT8	4.86272733756	77.0
KO2	5.44103407063	90.0
KO5	5.58548912927	100.0
OE2	5.63022467328	97.0
WT1	5.14936509017	89.0
WT2	5.42815414411	98.0
WT4	5.40199010869	94.0
KO7	5.64259824461	99.0
KO3	4.53089906208	74.0
WT6	5.1557210642	83.0
OE4	5.25449205047	87.0
KO9	5.64997265401	96.0
WT3	5.30801658503	88.0
KO1	5.23990397045	87.0
KO4	5.50862213214	99.0
WT5	5.03570826826	81.0
KO8	5.4529987681	91.0
OE6	5.45795141834	87.0
OE5	5.3896249658	88.0
WT7	5.42616285366	91.0
OE7	5.38770102992	88.0
WT9	4.89600408681	80.0
OE1	5.33518017736	87.0
OE8	5.60194521733	96.0
OE9	5.52578147758	89.0
OE3	4.99663664129	77.0
