	shannon	observed_otus
KO6	6.01568268109	177.0
WT8	5.08467282381	145.0
KO2	6.01423618198	175.0
KO5	5.89813817127	172.0
OE2	5.55794269014	164.0
WT1	5.39380375048	174.0
WT2	5.6684995413	175.0
WT4	5.95209955825	188.0
KO7	5.79470169961	164.0
KO3	4.50428979332	129.0
WT6	5.75016821624	164.0
OE4	5.6180425396	164.0
KO9	5.92309157826	166.0
WT3	5.71580924135	161.0
KO1	5.73736763348	173.0
KO4	5.85135870257	174.0
WT5	5.49562890063	160.0
KO8	5.69989515353	163.0
OE6	5.58722894699	156.0
OE5	5.67223431033	156.0
WT7	5.87688764387	171.0
OE7	5.53870493793	147.0
WT9	5.32697347936	154.0
OE1	5.67283493169	155.0
OE8	5.78762605165	153.0
OE9	5.78720098895	157.0
OE3	5.3873880477	145.0
