	shannon	observed_otus
KO6	6.25548693683	301.0
WT8	5.09654591185	251.0
KO2	6.18612983136	294.0
KO5	6.09798651454	298.0
OE2	5.72231639208	272.0
WT1	5.3824440124	274.0
WT2	5.99099481719	310.0
WT4	6.02339520286	300.0
KO7	6.02605935151	288.0
KO3	4.83823135579	236.0
WT6	5.84666112191	291.0
KO9	5.99270027246	285.0
WT3	5.99168227871	273.0
KO1	5.78780674152	278.0
KO4	5.91509411599	284.0
WT5	5.59505371522	261.0
KO8	5.92909591652	274.0
OE6	5.76979800333	261.0
OE5	5.83556026128	262.0
WT7	6.15460629431	286.0
OE7	5.69953498157	265.0
WT9	5.47176183157	266.0
OE1	5.8637842886	257.0
OE8	5.9255961964	258.0
OE9	5.8450107555	256.0
