	shannon	observed_otus
KO6	6.29683366854	302.0
WT8	5.0752906056	231.0
KO2	6.21358281066	310.0
KO5	6.08156014917	290.0
OE2	5.7262097318	270.0
WT1	5.33410026715	258.0
WT2	5.85347004421	279.0
WT4	5.93246776807	295.0
KO7	5.99139207801	282.0
KO3	4.77976390507	229.0
WT6	5.77625115831	262.0
KO9	6.09406538971	288.0
WT3	6.00964391373	271.0
KO1	5.83864603087	269.0
KO4	5.92954851343	288.0
WT5	5.70992010615	254.0
KO8	5.84184789078	258.0
OE6	5.69795695506	237.0
OE5	5.83147589177	255.0
WT7	6.19196853229	285.0
OE7	5.71544978995	251.0
WT9	5.50521097724	258.0
OE1	5.8934467075	259.0
OE8	5.92093064426	248.0
OE9	5.85309758896	260.0
