	shannon	observed_otus
KO6	6.23858699591	272.0
WT8	5.10163864056	233.0
KO2	6.1834498436	274.0
KO5	6.04494036086	275.0
OE2	5.68155244977	256.0
WT1	5.33825012183	253.0
WT2	5.98518011792	287.0
WT4	5.98037877067	295.0
KO7	5.88504403148	260.0
KO3	4.80418071794	232.0
WT6	5.76984165393	251.0
KO9	6.04615851983	266.0
WT3	6.08372392966	292.0
KO1	5.70842341791	235.0
KO4	6.024368153	285.0
WT5	5.61111609252	255.0
KO8	5.85035325409	246.0
OE6	5.67441567138	234.0
OE5	5.79591829779	236.0
WT7	6.13883229761	283.0
OE7	5.7056214248	243.0
WT9	5.53256845292	270.0
OE1	5.86476612787	246.0
OE8	5.94171138715	241.0
OE9	5.82362139138	243.0
