	shannon	observed_otus
KO6	6.14885360122	175.0
WT8	5.01992473648	128.0
KO2	5.94304770797	162.0
KO5	5.99785514722	165.0
OE2	5.50776126837	141.0
WT1	5.19404642552	138.0
WT2	5.76939415384	147.0
WT4	5.55640339646	144.0
KO7	5.64359210084	142.0
KO3	4.65913893238	119.0
WT6	5.44549867673	136.0
OE4	5.54781912694	136.0
KO9	5.78134024083	152.0
WT3	5.83859108238	148.0
KO1	5.56091863179	140.0
KO4	5.76783616631	154.0
WT5	5.40630473986	134.0
KO8	5.71849322591	141.0
OE6	5.5575251306	139.0
OE5	5.60914919843	135.0
WT7	5.76921951756	147.0
OE7	5.47134641595	140.0
WT9	5.3762176073	132.0
OE1	5.73787764069	134.0
OE8	5.66821713587	141.0
OE9	5.64951852139	131.0
OE3	5.32663801071	133.0
