	shannon	observed_otus
KO6	6.35212439831	283.0
WT8	5.15313023541	207.0
KO2	6.17401819146	269.0
KO5	6.06472723463	262.0
OE2	5.67302300717	227.0
WT1	5.41742763087	228.0
WT2	5.98413116539	272.0
WT4	5.98625847971	252.0
KO7	5.98676580014	251.0
KO3	4.79603086593	219.0
WT6	5.75424874849	219.0
OE4	5.74710306427	239.0
KO9	5.96224706813	234.0
WT3	6.00355453152	251.0
KO1	5.72370928859	234.0
KO4	5.80663180611	245.0
WT5	5.6159347843	222.0
KO8	5.91217752741	239.0
OE6	5.73317908213	218.0
OE5	5.82221516742	226.0
WT7	6.11098294581	261.0
OE7	5.71716629562	232.0
WT9	5.54644816763	237.0
OE1	5.81894109285	224.0
OE8	5.89941388576	225.0
OE9	5.8076663352	220.0
OE3	5.52083029727	214.0
