	shannon	observed_otus
KO6	6.20649327038	224.0
WT8	5.00697341402	173.0
KO2	6.07459321612	216.0
KO5	5.96884076616	210.0
OE2	5.63685583832	192.0
WT1	5.26396626525	193.0
WT2	5.74420977327	209.0
WT4	5.87193443263	224.0
KO7	5.98159393272	212.0
KO3	4.76250349908	169.0
WT6	5.76904679986	203.0
OE4	5.64498664039	192.0
KO9	5.89614993334	193.0
WT3	5.88232386883	209.0
KO1	5.718094379	201.0
KO4	5.85816352997	207.0
WT5	5.58072139666	196.0
KO8	5.77235980485	191.0
OE6	5.56276495822	176.0
OE5	5.72817197503	187.0
WT7	6.04660578435	213.0
OE7	5.60538069951	188.0
WT9	5.51588167055	197.0
OE1	5.81788373702	195.0
OE8	5.81123817529	191.0
OE9	5.72784214731	182.0
OE3	5.44455283865	180.0
