	shannon	observed_otus
KO6	6.22499567488	262.0
WT8	4.98022085612	202.0
KO2	6.00710883004	273.0
KO5	6.07151888245	265.0
OE2	5.64550798508	237.0
WT1	5.31102896136	248.0
WT2	5.87085719664	277.0
WT4	5.95898883521	282.0
KO7	5.85537266891	256.0
KO3	4.82623033087	215.0
WT6	5.81118346202	254.0
KO9	5.9851224949	256.0
WT3	5.92820476897	253.0
KO1	5.82376197388	249.0
KO4	5.89100079546	264.0
WT5	5.61203954478	252.0
KO8	5.88535324008	242.0
OE6	5.73696700629	224.0
OE5	5.86171202768	241.0
WT7	6.21983473231	279.0
OE7	5.63893045041	227.0
WT9	5.58300135002	263.0
OE1	5.81210116542	232.0
OE8	5.92733519331	235.0
OE9	5.81976652315	236.0
