	shannon	observed_otus
KO6	6.26813718387	267.0
WT8	5.03913473728	213.0
KO2	6.16425802159	268.0
KO5	5.99765719586	254.0
OE2	5.69106954861	245.0
WT1	5.40060860246	248.0
WT2	5.92035004072	268.0
WT4	5.99322425283	284.0
KO7	5.84890474896	253.0
KO3	4.87156615534	214.0
WT6	5.83671399543	247.0
OE4	5.74942514473	243.0
KO9	6.06234239277	253.0
WT3	5.99566982668	265.0
KO1	5.80810822023	253.0
KO4	5.87512626915	248.0
WT5	5.62946312316	238.0
KO8	5.86822685153	241.0
OE6	5.71945777234	228.0
OE5	5.8351675676	244.0
WT7	6.17504578192	262.0
OE7	5.62060383582	222.0
WT9	5.51115312477	253.0
OE1	5.84174638257	228.0
OE8	5.91796570722	232.0
OE9	5.81248874891	228.0
OE3	5.51113499193	216.0
