	shannon	observed_otus
KO6	6.31362525192	290.0
WT8	5.13227821912	238.0
KO2	6.15115970201	283.0
KO5	6.09118536753	283.0
OE2	5.71612592244	261.0
WT1	5.42214843581	260.0
WT2	5.92913880726	300.0
WT4	5.91745597376	289.0
KO7	5.91090370565	279.0
KO3	4.82692082427	226.0
WT6	5.77543198968	257.0
KO9	6.06424830002	285.0
WT3	6.02675882218	283.0
KO1	5.85593804901	276.0
KO4	5.93060373578	271.0
WT5	5.54703517939	259.0
KO8	5.84249346729	250.0
OE6	5.77985866475	249.0
OE5	5.83174685885	250.0
WT7	6.12253339598	285.0
OE7	5.64322499974	241.0
WT9	5.49892824879	259.0
OE1	5.85955125282	248.0
OE8	5.9172613112	250.0
OE9	5.86742349591	248.0
