	shannon	observed_otus
KO6	6.16203791233	188.0
WT8	4.97541024312	144.0
KO2	6.08597184618	185.0
KO5	5.95136857687	181.0
OE2	5.56469132805	163.0
WT1	5.12916728009	172.0
WT2	5.78180670812	186.0
WT4	6.04810259891	204.0
KO7	5.72054615253	173.0
KO3	4.73358507584	152.0
WT6	5.6511193845	175.0
OE4	5.61744103382	162.0
KO9	5.96420985207	186.0
WT3	5.87616265966	194.0
KO1	5.58574728349	180.0
KO4	5.83572999251	175.0
WT5	5.48029488568	162.0
KO8	5.83368462903	179.0
OE6	5.58872695236	155.0
OE5	5.72001196997	173.0
WT7	5.96655566242	167.0
OE7	5.48079676155	151.0
WT9	5.42550546161	165.0
OE1	5.70786939146	162.0
OE8	5.77091427645	171.0
OE9	5.62227902181	157.0
OE3	5.37423950862	149.0
