	shannon	observed_otus
KO6	6.24230093589	269.0
WT8	5.12353611316	234.0
KO2	6.14723392461	263.0
KO5	6.0246946014	268.0
OE2	5.70172178063	245.0
WT1	5.384735029	256.0
WT2	5.89405129752	279.0
WT4	5.87763219522	279.0
KO7	6.04077929587	267.0
KO3	4.80729720027	225.0
WT6	5.75487343546	257.0
KO9	5.93149782657	244.0
WT3	5.96686542709	256.0
KO1	5.81903489922	250.0
KO4	5.89447123122	254.0
WT5	5.59946950626	256.0
KO8	5.96980912908	255.0
OE6	5.76870241374	234.0
OE5	5.8163222836	242.0
WT7	6.10889443876	272.0
OE7	5.65818172187	236.0
WT9	5.51917060397	248.0
OE1	5.863739142	242.0
OE8	5.90767485724	238.0
OE9	5.82459628226	237.0
