	shannon	observed_otus
KO6	6.1593647855	233.0
WT8	5.06444122491	191.0
KO2	6.16279569798	236.0
KO5	5.97638884198	240.0
OE2	5.6736460723	212.0
WT1	5.39468188547	216.0
WT2	5.90035555289	243.0
WT4	5.93341082234	236.0
KO7	5.83093782325	221.0
KO3	4.8350250881	197.0
WT6	5.72691518803	224.0
OE4	5.73435225898	218.0
KO9	5.89287532906	218.0
WT3	5.89778156358	223.0
KO1	5.79756366083	227.0
KO4	5.91396163304	220.0
WT5	5.46689051787	205.0
KO8	5.84123135807	218.0
OE6	5.72878356994	199.0
OE5	5.76295919043	208.0
WT7	5.96159731068	223.0
OE7	5.69619673732	202.0
WT9	5.48666101336	215.0
OE1	5.84377793307	211.0
OE8	5.88559442332	214.0
OE9	5.76934836087	205.0
OE3	5.50126835793	193.0
