	shannon	observed_otus
KO6	6.21361081517	201.0
WT8	5.03693526229	162.0
KO2	5.91421013596	181.0
KO5	5.86429732354	178.0
OE2	5.66895616975	176.0
WT1	5.33169402624	177.0
WT2	5.85448449146	200.0
WT4	5.92738295385	198.0
KO7	5.8324165912	186.0
KO3	4.75748480832	148.0
WT6	5.66971591249	174.0
OE4	5.69457081622	177.0
KO9	5.87313486605	175.0
WT3	5.86059327337	177.0
KO1	5.6771241965	173.0
KO4	5.86371256866	182.0
WT5	5.50458849535	178.0
KO8	5.6971238305	179.0
OE6	5.67077018777	168.0
OE5	5.73733015241	173.0
WT7	5.96935739375	188.0
OE7	5.50305693342	163.0
WT9	5.36234400651	171.0
OE1	5.77002201808	165.0
OE8	5.77545716104	168.0
OE9	5.65691943419	165.0
OE3	5.43559191331	159.0
