	shannon	observed_otus
KO6	6.26677190826	251.0
WT8	5.0119465182	193.0
KO2	6.12099586166	242.0
KO5	6.16964706645	253.0
OE2	5.6692697877	221.0
WT1	5.39146979776	226.0
WT2	5.82502256697	236.0
WT4	5.93924865854	253.0
KO7	5.81854331032	225.0
KO3	4.73880453377	195.0
WT6	5.56885420136	218.0
OE4	5.72959955806	226.0
KO9	5.95288819881	250.0
WT3	5.86229956057	231.0
KO1	5.81298610818	230.0
KO4	5.80255270072	222.0
WT5	5.46607918384	215.0
KO8	5.89578354682	234.0
OE6	5.67690890638	205.0
OE5	5.77505520633	215.0
WT7	6.15994262355	247.0
OE7	5.68659072704	215.0
WT9	5.44917932788	219.0
OE1	5.82675525136	213.0
OE8	5.8785811789	215.0
OE9	5.77407827758	203.0
OE3	5.4735762192	202.0
