	shannon	observed_otus
KO6	5.87150077017	113.0
WT8	5.00936111352	98.0
KO2	5.86274371982	121.0
KO5	5.63262466776	106.0
OE2	5.43836198694	96.0
WT1	5.29465879367	119.0
WT2	5.56830776386	129.0
WT4	5.54092902136	114.0
KO7	5.57507182204	111.0
KO3	4.65146241024	88.0
WT6	5.45057150709	105.0
OE4	5.3966923008	102.0
KO9	5.55366471718	109.0
WT3	5.57851182089	111.0
KO1	5.62642171288	113.0
KO4	5.49878709158	102.0
WT5	5.29875888245	104.0
KO8	5.54437493566	109.0
OE6	5.41354450307	102.0
OE5	5.54393536363	110.0
WT7	5.5332819725	102.0
OE7	5.33499017515	100.0
WT9	4.93179591429	88.0
OE1	5.38300728915	94.0
OE8	5.66378313927	110.0
OE9	5.7059383748	100.0
OE3	5.24883635626	96.0
