	shannon	observed_otus
KO6	6.29272142163	260.0
WT8	5.05257270859	200.0
KO2	6.05397637068	255.0
KO5	6.03812025983	262.0
OE2	5.62528703261	229.0
WT1	5.3794720804	244.0
WT2	5.89869812994	268.0
WT4	5.95720457168	265.0
KO7	5.88852287156	232.0
KO3	4.86313072198	204.0
WT6	5.7633776678	243.0
OE4	5.72920440147	233.0
KO9	6.04983067863	254.0
WT3	5.97760188608	252.0
KO1	5.81796551221	240.0
KO4	5.88237360833	248.0
WT5	5.53808615941	215.0
KO8	5.87816216356	232.0
OE6	5.71126068012	208.0
OE5	5.77572909981	218.0
WT7	6.1167195924	252.0
OE7	5.67079571242	211.0
WT9	5.53416788951	236.0
OE1	5.88754055177	224.0
OE8	5.88838291834	231.0
OE9	5.82885581281	223.0
OE3	5.52443046286	213.0
