	shannon	observed_otus
KO6	6.24611009556	267.0
WT8	5.10138481991	218.0
KO2	6.16757270944	276.0
KO5	6.1306681983	266.0
OE2	5.66501177833	235.0
WT1	5.32663184888	242.0
WT2	6.03919337348	279.0
WT4	5.99341144979	274.0
KO7	5.94161061005	256.0
KO3	4.99174473288	230.0
WT6	5.73551575808	253.0
OE4	5.74700089892	242.0
KO9	6.01909524779	247.0
WT3	5.9268975207	242.0
KO1	5.77199792821	250.0
KO4	5.96990981999	251.0
WT5	5.60731554692	234.0
KO8	5.91818894017	247.0
OE6	5.62880425377	215.0
OE5	5.72476574787	220.0
WT7	6.09136101548	261.0
OE7	5.64871500631	216.0
WT9	5.56618168219	251.0
OE1	5.81656212259	232.0
OE8	5.88029287152	224.0
OE9	5.80830418716	237.0
OE3	5.50812415389	217.0
