	shannon	observed_otus
KO6	6.10536082943	213.0
WT8	5.05264449349	197.0
KO2	6.14448198733	243.0
KO5	5.98280425326	232.0
OE2	5.6823176248	211.0
WT1	5.39997936973	215.0
WT2	5.92438898251	244.0
WT4	5.96166772515	243.0
KO7	5.82592987097	212.0
KO3	4.70551025259	192.0
WT6	5.78936131955	219.0
OE4	5.66374663971	206.0
KO9	6.05774435541	226.0
WT3	6.07788281449	235.0
KO1	5.84917678764	226.0
KO4	5.83220794784	226.0
WT5	5.5483639696	193.0
KO8	5.74116833049	203.0
OE6	5.67557396922	195.0
OE5	5.78166927441	214.0
WT7	6.15617721823	245.0
OE7	5.67186618863	198.0
WT9	5.55353624135	211.0
OE1	5.84032017305	200.0
OE8	5.88290270186	212.0
OE9	5.76160704664	204.0
OE3	5.50783304862	201.0
