	shannon	observed_otus
KO6	6.06096288036	149.0
WT8	5.07053723503	126.0
KO2	5.81666196509	145.0
KO5	5.62077382675	132.0
OE2	5.52771909576	122.0
WT1	5.09576516914	124.0
WT2	5.69026685644	147.0
WT4	5.74835243848	144.0
KO7	5.62730706412	133.0
KO3	4.59207611436	104.0
WT6	5.58515869013	129.0
OE4	5.49871642255	121.0
KO9	5.71622042165	139.0
WT3	5.61462255192	131.0
KO1	5.49703207091	135.0
KO4	5.70713482439	140.0
WT5	5.38735279709	132.0
KO8	5.67832757139	136.0
OE6	5.4579888008	122.0
OE5	5.58535137962	135.0
WT7	5.84261465625	143.0
OE7	5.47632823649	122.0
WT9	5.2487372351	117.0
OE1	5.759363177	127.0
OE8	5.56200001538	127.0
OE9	5.75252828374	134.0
OE3	5.20121720519	108.0
