	shannon	observed_otus
KO6	6.27399740017	255.0
WT8	5.20153046615	231.0
KO2	6.09382724732	249.0
KO5	6.09758587888	252.0
OE2	5.66505879462	237.0
WT1	5.29124757674	238.0
WT2	5.8164684967	267.0
WT4	5.95360428148	277.0
KO7	5.92377204222	250.0
KO3	4.72002140699	211.0
WT6	5.67110426479	230.0
OE4	5.75296994923	240.0
KO9	5.99336559319	246.0
WT3	6.06189278625	258.0
KO1	5.77209054958	242.0
KO4	5.90307156086	258.0
WT5	5.52511109152	228.0
KO8	5.87120324147	240.0
OE6	5.72090494829	229.0
OE5	5.73892933532	224.0
WT7	6.07297908862	264.0
OE7	5.66688077812	219.0
WT9	5.5155600167	242.0
OE1	5.80373710841	231.0
OE8	5.88191960419	228.0
OE9	5.86338637158	223.0
OE3	5.50552640789	215.0
