	shannon	observed_otus
KO6	6.25288207294	253.0
WT8	5.01776267218	205.0
KO2	6.16149755727	261.0
KO5	6.17971115588	273.0
OE2	5.66155851945	226.0
WT1	5.41991041532	245.0
WT2	5.92247740871	264.0
WT4	5.92445306848	248.0
KO7	5.97900998256	257.0
KO3	4.72266005529	208.0
WT6	5.78615161075	228.0
OE4	5.74524531015	237.0
KO9	6.00743076521	244.0
WT3	5.92433058639	254.0
KO1	5.7441466553	238.0
KO4	5.96800445431	249.0
WT5	5.66506664634	229.0
KO8	5.77596028451	220.0
OE6	5.67603790429	214.0
OE5	5.84660669037	242.0
WT7	6.1171682708	248.0
OE7	5.56011130681	214.0
WT9	5.39810947997	225.0
OE1	5.88678763798	227.0
OE8	5.89923595155	226.0
OE9	5.84566336772	227.0
OE3	5.50491267626	207.0
