	shannon	observed_otus
KO6	6.10291879916	162.0
WT8	4.77335260364	122.0
KO2	5.88290725515	155.0
KO5	5.77882101792	149.0
OE2	5.5056493798	137.0
WT1	5.42394805089	139.0
WT2	5.70778802801	162.0
WT4	5.85055707258	161.0
KO7	5.86223960794	148.0
KO3	4.48338446165	120.0
WT6	5.57463926705	144.0
OE4	5.43158958533	132.0
KO9	5.86465088871	157.0
WT3	5.7170460668	139.0
KO1	5.43895179805	141.0
KO4	5.661975497	145.0
WT5	5.43186337666	136.0
KO8	5.58532731036	137.0
OE6	5.4481348463	135.0
OE5	5.58685533118	140.0
WT7	5.91488594191	155.0
OE7	5.46272982766	139.0
WT9	5.33234273375	132.0
OE1	5.63538929461	140.0
OE8	5.77543142584	143.0
OE9	5.58603712088	138.0
OE3	5.31363070907	136.0
