	shannon	observed_otus
KO6	6.06298530262	154.0
WT8	4.75629735785	96.0
KO2	5.94411116481	152.0
KO5	5.70348815998	137.0
OE2	5.39014431299	124.0
WT1	5.26280683478	129.0
WT2	5.53099647631	146.0
WT4	5.8424521175	163.0
KO7	5.78985198812	140.0
KO3	4.63243957203	112.0
WT6	5.57236391675	131.0
OE4	5.56679446348	131.0
KO9	5.90324243906	143.0
WT3	5.80182658023	151.0
KO1	5.52252147761	135.0
KO4	5.67286309359	130.0
WT5	5.63037131379	134.0
KO8	5.71627445799	139.0
OE6	5.4077451599	118.0
OE5	5.44623794696	123.0
WT7	5.92527624701	151.0
OE7	5.54976980991	126.0
WT9	5.38979479428	140.0
OE1	5.74784356092	132.0
OE8	5.56504430386	127.0
OE9	5.63030735974	126.0
OE3	5.27471501731	119.0
