	shannon	observed_otus
KO6	6.22061651562	200.0
WT8	4.84471803339	128.0
KO2	5.86583334705	175.0
KO5	5.89567015974	184.0
OE2	5.52483515776	157.0
WT1	5.1134458036	148.0
WT2	5.81669074884	184.0
WT4	5.6795638885	168.0
KO7	5.76894642037	170.0
KO3	4.62780895526	140.0
WT6	5.48649038953	150.0
OE4	5.56116040494	158.0
KO9	5.89365203939	175.0
WT3	5.7585678459	166.0
KO1	5.7147029011	165.0
KO4	5.81253874132	169.0
WT5	5.50390301736	162.0
KO8	5.64706361111	152.0
OE6	5.59946537829	148.0
OE5	5.79984481094	172.0
WT7	6.09795108846	182.0
OE7	5.6084954913	150.0
WT9	5.36928752343	153.0
OE1	5.75292637526	147.0
OE8	5.79322943203	154.0
OE9	5.77708804305	155.0
OE3	5.39389331108	147.0
