	shannon	observed_otus
KO6	6.28840705482	284.0
WT8	5.14996366976	238.0
KO2	6.13917147972	297.0
KO5	6.0991148014	303.0
OE2	5.72974840186	269.0
WT1	5.4082278474	273.0
WT2	5.97765769294	297.0
WT4	5.95862455786	296.0
KO7	5.97906470419	267.0
KO3	4.75728680915	225.0
WT6	5.83982039605	268.0
KO9	6.0120038759	276.0
WT3	6.00371037681	285.0
KO1	5.86491281827	279.0
KO4	5.96374753344	289.0
WT5	5.59351825154	261.0
KO8	5.89507734942	264.0
OE6	5.66564236469	236.0
OE5	5.83950757947	260.0
WT7	6.18774750709	291.0
OE7	5.68412716707	243.0
WT9	5.51648837367	258.0
OE1	5.88673612551	254.0
OE8	5.918569328	249.0
OE9	5.77174882233	246.0
