	shannon	observed_otus
KO6	5.20621000585	51.0
WT8	4.17230657103	37.0
KO2	5.00590340366	48.0
KO5	5.11734565198	54.0
OE2	4.49655876888	40.0
WT1	4.40001629219	43.0
WT2	4.85472828711	44.0
WT4	4.58182438687	41.0
KO7	5.04785797621	48.0
KO3	4.47575619027	41.0
WT6	4.77782425123	40.0
OE4	5.09296308733	49.0
KO9	5.09134255659	50.0
WT3	4.66195526272	42.0
KO1	4.77517762616	43.0
KO4	4.94773893796	46.0
WT5	4.36063019051	37.0
KO8	4.73750235181	39.0
OE6	4.4224665349	33.0
OE5	4.97789277691	48.0
WT7	4.93350056538	45.0
OE7	4.90179637217	48.0
WT9	4.6484398419	45.0
OE1	5.19977162314	51.0
OE8	5.24637013016	54.0
OE9	5.26541421231	53.0
OE3	4.49497418992	38.0
