	shannon	observed_otus
KO6	6.25555577504	294.0
WT8	5.06591551494	243.0
KO2	6.18513294094	306.0
KO5	6.09870007052	299.0
OE2	5.7334790447	273.0
WT1	5.40397420488	280.0
WT2	5.9543886309	311.0
WT4	6.01284912615	312.0
KO7	5.99040206572	276.0
KO3	4.85153564869	240.0
WT6	5.79489068374	263.0
KO9	6.14564948373	300.0
WT3	5.97489978371	286.0
KO1	5.8439891291	275.0
KO4	5.96506874935	278.0
WT5	5.72466702812	274.0
KO8	5.79136916871	260.0
OE6	5.69909025123	246.0
OE5	5.88266882869	263.0
WT7	6.16654998627	295.0
OE7	5.70166064721	250.0
WT9	5.52106099608	275.0
OE1	5.89011445208	261.0
OE8	5.93424139643	258.0
OE9	5.79867153256	252.0
