	shannon	observed_otus
KO6	6.18355119172	181.0
WT8	4.96539910157	152.0
KO2	5.95415615502	187.0
KO5	5.85983805807	177.0
OE2	5.57098096455	173.0
WT1	5.22039710106	171.0
WT2	5.8240533859	192.0
WT4	5.78798626805	187.0
KO7	5.91925833181	180.0
KO3	4.66516715439	141.0
WT6	5.5952059691	163.0
OE4	5.69285478598	157.0
KO9	5.80723328014	172.0
WT3	5.6987192348	167.0
KO1	5.75299466638	171.0
KO4	5.78929981201	172.0
WT5	5.54323176363	158.0
KO8	5.84338690543	179.0
OE6	5.39821931794	147.0
OE5	5.70975699783	164.0
WT7	5.96480443214	179.0
OE7	5.58095190292	160.0
WT9	5.44936505483	170.0
OE1	5.69786406697	159.0
OE8	5.80065404535	167.0
OE9	5.58576932394	154.0
OE3	5.48584298646	164.0
