	shannon	observed_otus
KO6	6.27716247265	249.0
WT8	5.03067713667	205.0
KO2	6.12922859902	264.0
KO5	6.03017506205	259.0
OE2	5.71863822189	228.0
WT1	5.48123661062	244.0
WT2	5.85338851406	250.0
WT4	6.06434624802	280.0
KO7	5.97105146218	248.0
KO3	4.81382303333	201.0
WT6	5.7568556922	242.0
OE4	5.73167326558	226.0
KO9	6.05949131367	249.0
WT3	5.99030142099	252.0
KO1	5.88353081684	240.0
KO4	5.94311269298	246.0
WT5	5.54352533445	210.0
KO8	5.92295020773	236.0
OE6	5.59650134397	201.0
OE5	5.74233060387	218.0
WT7	6.12289051285	247.0
OE7	5.67660308436	210.0
WT9	5.45666136947	240.0
OE1	5.88604338963	225.0
OE8	5.81356209976	216.0
OE9	5.81825315545	222.0
OE3	5.51181603055	206.0
