	shannon	observed_otus
KO6	6.31386192082	293.0
WT8	5.10520912235	235.0
KO2	6.16365203978	288.0
KO5	6.01528871877	267.0
OE2	5.72282797279	267.0
WT1	5.44744092384	267.0
WT2	5.92400593713	308.0
WT4	6.00001443529	300.0
KO7	6.06124739928	279.0
KO3	4.80650856883	241.0
WT6	5.79705979551	271.0
KO9	5.97667308122	257.0
WT3	6.08616177417	308.0
KO1	5.82929670948	275.0
KO4	5.94694794019	278.0
WT5	5.6117541719	256.0
KO8	5.94882144171	262.0
OE6	5.7547194114	241.0
OE5	5.84997682894	263.0
WT7	6.08824166399	281.0
OE7	5.69788955299	258.0
WT9	5.53933817291	273.0
OE1	5.85001983165	256.0
OE8	5.92950490979	253.0
OE9	5.84261396452	255.0
