	shannon	observed_otus
KO6	6.10798055152	215.0
WT8	4.91522962618	163.0
KO2	6.04677529434	221.0
KO5	6.03536035539	219.0
OE2	5.63444693236	188.0
WT1	5.37945769608	199.0
WT2	5.74491859367	205.0
WT4	5.91858143024	218.0
KO7	5.89987576501	203.0
KO3	4.69942510883	176.0
WT6	5.65525620488	191.0
OE4	5.59007486616	185.0
KO9	5.90283049478	201.0
WT3	5.96479612273	214.0
KO1	5.75107497703	212.0
KO4	5.76608123413	198.0
WT5	5.63623654977	199.0
KO8	5.87451249245	208.0
OE6	5.5922065113	182.0
OE5	5.77230260869	196.0
WT7	6.03934534727	214.0
OE7	5.57892081921	177.0
WT9	5.27327633973	190.0
OE1	5.83210731634	182.0
OE8	5.88114577166	195.0
OE9	5.78002917856	185.0
OE3	5.45842321594	180.0
