	shannon	observed_otus
KO6	6.01423943214	192.0
WT8	4.95465300243	141.0
KO2	6.0004201394	191.0
KO5	6.03747655514	189.0
OE2	5.70112142211	172.0
WT1	5.40653721747	174.0
WT2	5.715656471	192.0
WT4	5.88959233809	192.0
KO7	5.73890809504	182.0
KO3	4.76218854341	148.0
WT6	5.71800829591	183.0
OE4	5.66627689732	167.0
KO9	5.87052221104	181.0
WT3	5.88205563296	173.0
KO1	5.56788643385	159.0
KO4	5.88772437214	181.0
WT5	5.38168989635	159.0
KO8	5.56203745697	158.0
OE6	5.52346386923	148.0
OE5	5.68541394334	165.0
WT7	6.03688110256	190.0
OE7	5.69166164648	164.0
WT9	5.40808400661	165.0
OE1	5.69333885909	159.0
OE8	5.7584454109	170.0
OE9	5.80176383952	173.0
OE3	5.51764271394	159.0
