	shannon	observed_otus
KO6	5.45613495221	79.0
WT8	4.72144910427	62.0
KO2	5.49430395802	79.0
KO5	5.24344076483	68.0
OE2	5.22372356941	66.0
WT1	4.59154853709	62.0
WT2	5.74509645107	96.0
WT4	5.34931628627	77.0
KO7	5.34993102608	77.0
KO3	4.29829735729	55.0
WT6	5.16255753631	66.0
OE4	5.34812684805	76.0
KO9	5.53930763855	77.0
WT3	5.34013854713	76.0
KO1	5.11405669381	73.0
KO4	5.09181794911	62.0
WT5	4.92365946972	68.0
KO8	5.12031346737	62.0
OE6	5.25086599814	69.0
OE5	5.46673041408	78.0
WT7	5.61556398646	84.0
OE7	5.22216602508	71.0
WT9	4.88412738498	64.0
OE1	5.11284716841	66.0
OE8	5.39487728025	72.0
OE9	5.31360529224	72.0
OE3	5.19465932225	73.0
