	shannon	observed_otus
KO6	6.37524502069	265.0
WT8	5.01204841276	210.0
KO2	6.17452127623	271.0
KO5	6.02400521014	249.0
OE2	5.65734243876	222.0
WT1	5.38055750166	239.0
WT2	5.89135535176	270.0
WT4	5.95677538497	267.0
KO7	5.87591882649	243.0
KO3	4.75760450058	208.0
WT6	5.8148599655	240.0
OE4	5.73973952371	233.0
KO9	6.1309258885	246.0
WT3	5.95503898516	256.0
KO1	5.87224078819	246.0
KO4	5.81840992834	235.0
WT5	5.59322495447	217.0
KO8	5.81262361092	221.0
OE6	5.66015062204	217.0
OE5	5.76545138375	219.0
WT7	6.00526855593	238.0
OE7	5.68869122505	208.0
WT9	5.55123511716	227.0
OE1	5.80788923723	216.0
OE8	5.90667053224	218.0
OE9	5.80926026685	217.0
OE3	5.49327708703	207.0
