	shannon	observed_otus
KO6	6.24032941091	268.0
WT8	5.04480656186	209.0
KO2	6.16850572904	266.0
KO5	6.16037585539	266.0
OE2	5.67765223327	232.0
WT1	5.34575887058	243.0
WT2	5.88134661361	268.0
WT4	5.92561284791	267.0
KO7	6.00251832737	261.0
KO3	4.75508142611	209.0
WT6	5.78214602006	242.0
OE4	5.75608918863	243.0
KO9	5.96027197531	249.0
WT3	5.98421596327	264.0
KO1	5.82246966191	252.0
KO4	5.91124686739	245.0
WT5	5.68477349571	249.0
KO8	5.72812689589	233.0
OE6	5.64806711341	217.0
OE5	5.84355146429	231.0
WT7	6.16436013866	263.0
OE7	5.63562941889	217.0
WT9	5.61132798224	255.0
OE1	5.87606181355	234.0
OE8	5.91148620895	232.0
OE9	5.76701147695	228.0
OE3	5.49773372538	213.0
