	shannon	observed_otus
KO6	5.27350056538	52.0
WT8	3.99060444325	28.0
KO2	5.10888407054	53.0
KO5	5.15940147004	52.0
OE2	4.6278422044	40.0
WT1	4.08643475679	36.0
WT2	4.95153234639	50.0
WT4	4.76124924723	45.0
KO7	5.05734565198	46.0
KO3	3.97716223111	34.0
WT6	4.60363413233	45.0
OE4	4.71317485893	44.0
KO9	5.0316924707	46.0
WT3	4.84061052367	44.0
KO1	4.81072125563	44.0
KO4	4.72187054819	40.0
WT5	4.73452665971	42.0
KO8	4.9238353427	46.0
OE6	4.74387807956	45.0
OE5	5.09144474732	48.0
WT7	5.10523879077	50.0
OE7	5.04943684581	48.0
WT9	4.89079035639	45.0
OE1	5.04007822533	47.0
OE8	5.06523879077	49.0
OE9	4.87792079161	47.0
OE3	4.40085317179	36.0
