	shannon	observed_otus
KO6	6.24384534754	207.0
WT8	4.77576454814	149.0
KO2	5.93569981638	187.0
KO5	6.10955698816	210.0
OE2	5.73605455273	179.0
WT1	5.10594017127	170.0
WT2	5.72864355206	198.0
WT4	5.86759396118	189.0
KO7	5.89705738989	183.0
KO3	4.68281787746	143.0
WT6	5.69753808568	181.0
OE4	5.70073482923	180.0
KO9	5.82641902905	175.0
WT3	5.7503781863	183.0
KO1	5.75741640461	177.0
KO4	5.78743371267	181.0
WT5	5.39290709659	161.0
KO8	5.72687903895	169.0
OE6	5.71184666749	167.0
OE5	5.69494583837	173.0
WT7	5.97014751293	188.0
OE7	5.56670147068	151.0
WT9	5.18402225737	167.0
OE1	5.76776598543	173.0
OE8	5.78689917115	169.0
OE9	5.72884986922	166.0
OE3	5.45825894685	162.0
