	shannon	observed_otus
KO6	6.08673553786	178.0
WT8	5.02127854142	144.0
KO2	5.90997263861	184.0
KO5	6.03114144164	190.0
OE2	5.54936167252	163.0
WT1	5.30085835939	167.0
WT2	5.96476863617	204.0
WT4	5.7425626043	185.0
KO7	5.87492641481	183.0
KO3	4.85029097574	155.0
WT6	5.64553669049	174.0
OE4	5.55791459913	168.0
KO9	5.91802427338	185.0
WT3	5.87737045509	185.0
KO1	5.64283226181	176.0
KO4	5.80469643132	182.0
WT5	5.45209718043	146.0
KO8	5.62454974628	169.0
OE6	5.56985528435	159.0
OE5	5.58837808295	152.0
WT7	5.9470763015	177.0
OE7	5.52311534432	155.0
WT9	5.469293844	162.0
OE1	5.67443849203	159.0
OE8	5.75438630995	163.0
OE9	5.76073184988	166.0
OE3	5.3420540663	147.0
