	shannon	observed_otus
KO6	5.84756841087	118.0
WT8	4.75478429294	88.0
KO2	5.89649340299	126.0
KO5	5.7358204975	124.0
OE2	5.39069878713	100.0
WT1	4.95211531646	100.0
WT2	5.55609529763	116.0
WT4	5.73771161492	123.0
KO7	5.59388867162	105.0
KO3	4.50252686752	85.0
WT6	5.3171499133	93.0
OE4	5.2003479165	96.0
KO9	5.7297920032	112.0
WT3	5.5337132801	115.0
KO1	5.5357295557	104.0
KO4	5.65028887645	112.0
WT5	5.27237118187	107.0
KO8	5.39102112519	98.0
OE6	5.42384527348	101.0
OE5	5.54727424699	115.0
WT7	5.77848241893	118.0
OE7	5.2995318173	91.0
WT9	5.11125716731	96.0
OE1	5.66764568224	112.0
OE8	5.52715087693	102.0
OE9	5.30997276225	97.0
OE3	5.16941867613	91.0
