	shannon	observed_otus
KO6	6.27919303608	294.0
WT8	5.02166806628	230.0
KO2	6.1413758131	297.0
KO5	6.06397511382	292.0
OE2	5.73108932222	262.0
WT1	5.40315381296	275.0
WT2	5.93838005244	291.0
WT4	5.97409650052	307.0
KO7	5.98390962413	275.0
KO3	4.88588563484	236.0
WT6	5.73947836311	257.0
KO9	6.04315310942	270.0
WT3	5.98797821101	286.0
KO1	5.86801368135	275.0
KO4	6.02032852476	285.0
WT5	5.59879283952	260.0
KO8	5.9205928024	260.0
OE6	5.75973825707	245.0
OE5	5.84648327174	253.0
WT7	6.18970865755	297.0
OE7	5.6825058614	241.0
WT9	5.56572977656	264.0
OE1	5.86162803389	254.0
OE8	5.90325264704	246.0
OE9	5.87744075638	249.0
