	shannon	observed_otus
KO6	6.26657377702	255.0
WT8	5.03567878946	200.0
KO2	6.1345934647	256.0
KO5	6.14726780491	258.0
OE2	5.62487811365	222.0
WT1	5.41347990345	243.0
WT2	5.96986471006	273.0
WT4	6.01347339703	273.0
KO7	5.86070812502	244.0
KO3	4.73039484256	208.0
WT6	5.78745882535	237.0
OE4	5.70350026412	233.0
KO9	6.01672164267	229.0
WT3	5.99135681133	251.0
KO1	5.80422211966	242.0
KO4	6.00374410572	248.0
WT5	5.58362946828	226.0
KO8	5.82718913377	235.0
OE6	5.70729845403	217.0
OE5	5.83502073584	237.0
WT7	6.00839285233	251.0
OE7	5.62763242823	222.0
WT9	5.51422335437	224.0
OE1	5.86019734967	236.0
OE8	5.86300639028	212.0
OE9	5.80994993992	218.0
OE3	5.46141440109	208.0
