	shannon	observed_otus
KO6	5.79550062097	122.0
WT8	4.96830905943	95.0
KO2	5.95827561444	130.0
KO5	5.71762640922	115.0
OE2	5.34174649669	96.0
WT1	5.10973613041	112.0
WT2	5.52552576751	115.0
WT4	5.54278121354	115.0
KO7	5.65716045635	118.0
KO3	4.39160405785	80.0
WT6	5.35805967203	103.0
OE4	5.38509791829	106.0
KO9	5.79805207365	116.0
WT3	5.62883991922	116.0
KO1	5.33243704241	101.0
KO4	5.53862470169	110.0
WT5	5.29566828967	106.0
KO8	5.59133925233	110.0
OE6	5.31157869638	96.0
OE5	5.35923575235	100.0
WT7	5.9779524526	130.0
OE7	5.35438705558	100.0
WT9	5.29199861289	104.0
OE1	5.55727253152	103.0
OE8	5.56495402898	106.0
OE9	5.61420225425	110.0
OE3	4.96894040973	82.0
