	shannon	observed_otus
KO6	6.20037139765	209.0
WT8	5.03817950114	169.0
KO2	6.03133401123	209.0
KO5	5.98884022814	221.0
OE2	5.61162415509	187.0
WT1	5.37401264364	203.0
WT2	5.77411941928	221.0
WT4	5.83454778623	228.0
KO7	5.81112278818	195.0
KO3	4.76827011405	172.0
WT6	5.57949106097	186.0
OE4	5.649489955	186.0
KO9	5.83876344413	204.0
WT3	5.84855647429	205.0
KO1	5.81905193493	208.0
KO4	5.77834653516	191.0
WT5	5.54669023554	186.0
KO8	5.76143314119	192.0
OE6	5.61187182193	179.0
OE5	5.80329221882	196.0
WT7	6.05567737075	222.0
OE7	5.61988333326	190.0
WT9	5.41926046288	193.0
OE1	5.77703633494	179.0
OE8	5.84575271735	196.0
OE9	5.76945231155	193.0
OE3	5.45549408456	176.0
