	shannon	observed_otus
KO6	5.94133990985	134.0
WT8	5.03371873549	110.0
KO2	5.81893070165	130.0
KO5	5.71914478898	124.0
OE2	5.51251885034	119.0
WT1	4.93038913464	108.0
WT2	5.60390853764	132.0
WT4	5.7291353569	138.0
KO7	5.50390538357	117.0
KO3	4.80088088968	103.0
WT6	5.57838984308	125.0
OE4	5.39305272903	120.0
KO9	5.80346703859	135.0
WT3	5.6066031971	123.0
KO1	5.36733980503	117.0
KO4	5.66989541579	123.0
WT5	5.06199506116	106.0
KO8	5.53384104375	119.0
OE6	5.49911448752	108.0
OE5	5.37008647397	111.0
WT7	5.81516186449	129.0
OE7	5.44818756201	112.0
WT9	5.29709792445	123.0
OE1	5.57759547159	109.0
OE8	5.72246495648	118.0
OE9	5.48555683634	115.0
OE3	5.45420496259	119.0
