	shannon	observed_otus
KO6	6.25157802408	235.0
WT8	5.01743252304	187.0
KO2	6.16783617695	241.0
KO5	6.0976708964	240.0
OE2	5.62576527252	204.0
WT1	5.34795545001	209.0
WT2	5.86187979831	232.0
WT4	5.94236911668	240.0
KO7	5.89889171298	212.0
KO3	4.80673815396	192.0
WT6	5.82026272524	224.0
OE4	5.67584450082	209.0
KO9	5.93851729561	214.0
WT3	5.99985730553	225.0
KO1	5.80648871526	221.0
KO4	5.9225562832	229.0
WT5	5.65350963044	212.0
KO8	5.79227584601	203.0
OE6	5.65801270128	198.0
OE5	5.69437106195	197.0
WT7	6.04178458875	227.0
OE7	5.59789201787	195.0
WT9	5.49625809394	201.0
OE1	5.853835598	204.0
OE8	5.86047574833	207.0
OE9	5.69798028951	194.0
OE3	5.5288919507	197.0
