	shannon	observed_otus
KO6	6.282477275	237.0
WT8	4.99264668511	194.0
KO2	6.0613341883	232.0
KO5	6.04121171668	223.0
OE2	5.62191520262	202.0
WT1	5.29100617924	206.0
WT2	5.86846090274	228.0
WT4	5.94526034741	236.0
KO7	5.94281761196	219.0
KO3	4.71198374904	188.0
WT6	5.73695229224	201.0
OE4	5.67006948235	203.0
KO9	5.98525046341	217.0
WT3	5.85757202508	221.0
KO1	5.87591369007	226.0
KO4	5.84745470571	207.0
WT5	5.55096075357	199.0
KO8	5.77848563385	203.0
OE6	5.72035491561	197.0
OE5	5.75559986243	199.0
WT7	6.0117433429	226.0
OE7	5.5871808085	189.0
WT9	5.45903922675	203.0
OE1	5.80826245201	202.0
OE8	5.89131126004	206.0
OE9	5.7281854113	194.0
OE3	5.44263381235	190.0
