	shannon	observed_otus
KO6	6.32410447984	270.0
WT8	5.07529610196	206.0
KO2	6.13560056558	261.0
KO5	6.02870446725	261.0
OE2	5.67821533991	230.0
WT1	5.30813577178	236.0
WT2	5.92429898758	262.0
WT4	6.00438519908	268.0
KO7	6.03860079704	257.0
KO3	4.76399117377	206.0
WT6	5.76461709998	222.0
OE4	5.70195881686	231.0
KO9	5.94859608531	242.0
WT3	5.93207472775	258.0
KO1	5.86665538438	251.0
KO4	5.86572965057	242.0
WT5	5.5949975068	233.0
KO8	5.88398378786	230.0
OE6	5.61956660594	207.0
OE5	5.87457950397	231.0
WT7	6.20603709635	270.0
OE7	5.67751053592	215.0
WT9	5.40875317646	242.0
OE1	5.83899704174	223.0
OE8	5.89960936331	228.0
OE9	5.82048355307	220.0
OE3	5.48662782894	209.0
