	shannon	observed_otus
KO6	6.20877308891	216.0
WT8	4.87539929591	156.0
KO2	6.10388745634	208.0
KO5	6.00523101846	200.0
OE2	5.64605241637	181.0
WT1	5.40255466515	182.0
WT2	5.69292871655	196.0
WT4	5.9031528873	198.0
KO7	5.87516130547	192.0
KO3	4.72456584624	154.0
WT6	5.43746927912	172.0
OE4	5.63058688362	179.0
KO9	5.88998575773	198.0
WT3	5.88041740586	197.0
KO1	5.70433910301	190.0
KO4	5.87365339479	203.0
WT5	5.39173706799	165.0
KO8	5.76676918206	182.0
OE6	5.46128782664	153.0
OE5	5.6786953599	173.0
WT7	6.10641767353	207.0
OE7	5.44367423191	165.0
WT9	5.44120334163	179.0
OE1	5.75125778068	174.0
OE8	5.83652786382	181.0
OE9	5.74021694119	180.0
OE3	5.46911081135	170.0
