	shannon	observed_otus
KO6	5.50330506529	60.0
WT8	4.43676708787	41.0
KO2	5.09012926847	53.0
KO5	4.86546966663	47.0
OE2	4.63878676163	43.0
WT1	4.51335365919	44.0
WT2	4.62461028917	48.0
WT4	4.79923953689	46.0
KO7	5.04166768703	49.0
KO3	3.50427044042	30.0
WT6	4.62681766037	39.0
OE4	4.76253671138	41.0
KO9	5.13942890966	51.0
WT3	4.92579156605	45.0
KO1	5.06715015189	49.0
KO4	4.80831915286	40.0
WT5	4.4869024285	41.0
KO8	4.97186318712	47.0
OE6	5.14537147546	50.0
OE5	5.1321109105	50.0
WT7	4.96012096218	43.0
OE7	5.05273221147	49.0
WT9	4.76073084257	46.0
OE1	4.99222274812	48.0
OE8	4.9496951613	44.0
OE9	5.36230641059	52.0
OE3	4.60671391935	39.0
