	shannon	observed_otus
KO6	6.17710496449	219.0
WT8	5.12377334995	164.0
KO2	6.09128012681	219.0
KO5	6.12379709708	218.0
OE2	5.59761791771	186.0
WT1	5.18278411215	189.0
WT2	5.93527623377	225.0
WT4	5.95500831132	219.0
KO7	5.79149243998	191.0
KO3	4.74201934744	169.0
WT6	5.62556878486	183.0
OE4	5.68786074813	191.0
KO9	5.87091566813	193.0
WT3	5.92905897435	206.0
KO1	5.76429142492	194.0
KO4	5.89593801144	203.0
WT5	5.63455845478	191.0
KO8	5.81517548433	188.0
OE6	5.66408158439	178.0
OE5	5.72833202779	182.0
WT7	6.10836267135	222.0
OE7	5.47845570452	165.0
WT9	5.40848001035	174.0
OE1	5.77177661655	189.0
OE8	5.74518421779	177.0
OE9	5.75729554276	175.0
OE3	5.49099226115	173.0
