	shannon	observed_otus
KO6	6.28801983586	302.0
WT8	5.03677766887	228.0
KO2	6.17448291395	305.0
KO5	6.12041111856	305.0
OE2	5.74799785042	263.0
WT1	5.48419863191	286.0
WT2	5.9294045813	304.0
WT4	5.96235427823	294.0
KO7	5.90601904397	279.0
KO3	4.8376325104	237.0
WT6	5.75476538505	276.0
KO9	6.08115088531	279.0
WT3	5.95913238324	292.0
KO1	5.74199439789	264.0
KO4	5.9355981351	286.0
WT5	5.64192129204	253.0
KO8	5.89364475397	266.0
OE6	5.69518233985	243.0
OE5	5.86937444963	264.0
WT7	6.1784938169	302.0
OE7	5.67438248417	253.0
WT9	5.53619773005	263.0
OE1	5.87121187777	255.0
OE8	5.9270527604	256.0
OE9	5.82330066086	253.0
